,index,type,time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
0,0,earthquake,1989-10-18 23:52:57.010,1.42,Northern California,reviewed,0,31,nc,11.0,0.02342,0.03,70.0,md,-121.9451667,37.1483333,6.129
1,1,earthquake,1989-10-18 23:50:19.750,1.85,Northern California,reviewed,0,53,nc,22.0,0.025230000000000002,0.05,74.0,md,-121.7233333,36.965,13.466
2,2,earthquake,1989-10-18 23:42:27.610,1.98,Northern California,reviewed,0,60,nc,35.0,0.02973,0.07,55.0,md,-122.0328333,37.1945,11.406
3,3,earthquake,1989-10-18 23:37:54.640,2.09,Northern California,reviewed,0,67,nc,28.0,0.02252,0.05,69.0,md,-121.8541667,37.0925,7.679
4,4,earthquake,1989-10-18 23:33:41.010,1.65,Northern California,reviewed,0,42,nc,17.0,0.034230000000000003,0.07,59.0,md,-121.6363333,36.9855,0.856
5,5,earthquake,1989-10-18 23:31:20.630,1.36,Northern California,reviewed,0,28,nc,17.0,0.02973,0.03,110.0,md,-121.711,36.98,6.366
6,6,earthquake,1989-10-18 23:30:50.150,1.51,"4km SE of Apple Valley, CA",reviewed,0,35,ci,0.0,0.8702,2.6319999999999997,233.2,mh,-117.157,34.479,-0.99
7,7,earthquake,1989-10-18 23:24:57.090,3.2,Northern California,reviewed,0,158,nc,79.0,0.034230000000000003,0.06,56.0,ml,-121.9786667,37.1686667,9.994
8,8,earthquake,1989-10-18 23:22:52.080,1.6,Northern California,reviewed,0,39,nc,36.0,0.04054,0.08,66.0,md,-121.8846667,37.117,3.834
9,9,earthquake,1989-10-18 23:22:16.850,1.08,Northern California,reviewed,0,18,nc,14.0,0.018019999999999998,0.04,115.0,md,-121.6733333,36.9493333,7.114
10,10,earthquake,1989-10-18 23:22:11.220,1.32,Northern California,reviewed,0,27,nc,17.0,0.03514,0.05,79.0,md,-121.982,37.1673333,6.624
11,11,earthquake,1989-10-18 23:20:29.920,1.17,Northern California,reviewed,0,21,nc,15.0,0.04955,0.04,84.0,md,-121.9716667,37.1321667,12.519
12,12,earthquake,1989-10-18 23:17:10.260,1.27,Northern California,reviewed,0,25,nc,8.0,0.015319999999999999,0.03,154.0,md,-121.8148333,37.0353333,6.198
13,13,earthquake,1989-10-18 23:15:32.970,1.81,Central California,reviewed,0,50,nc,23.0,0.009009,0.07,68.0,md,-121.5628333,36.8523333,1.074
14,14,earthquake,1989-10-18 23:13:11.470,2.19,Northern California,reviewed,0,74,nc,67.0,0.05225,0.08,65.0,md,-121.9788333,37.1321667,14.489
15,15,earthquake,1989-10-18 23:11:52.820,1.69,Northern California,reviewed,0,44,nc,48.0,0.01622,0.05,72.0,md,-121.6823333,36.9403333,10.094
16,16,earthquake,1989-10-18 23:11:04.430,1.56,Northern California,reviewed,0,37,nc,22.0,0.05495,0.1,62.0,md,-121.8381667,37.1006667,2.408
