,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,1.42,Northern California,624757977010,1481291793752,,https://earthquake.usgs.gov/earthquakes/eventpage/nc263323,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc263323&format=geojson,,,,,reviewed,0,31,nc,263323,",nc263323,",",nc,",",nearby-cities,origin,phase-data,",11,0.02342,0.03,70,md,earthquake,M 1.4 - Northern California,0,Point,"[-121.9451667, 37.1483333, 6.129]",0
0,1.85,Northern California,624757819750,1481291790238,,https://earthquake.usgs.gov/earthquakes/eventpage/nc263322,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc263322&format=geojson,,,,,reviewed,0,53,nc,263322,",nc263322,",",nc,",",nearby-cities,origin,phase-data,",22,0.02523,0.05,74,md,earthquake,M 1.9 - Northern California,1,Point,"[-121.7233333, 36.965, 13.466]",1
0,1.98,Northern California,624757347610,1481291784960,,https://earthquake.usgs.gov/earthquakes/eventpage/nc263321,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc263321&format=geojson,,,,,reviewed,0,60,nc,263321,",nc263321,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",35,0.02973,0.07,55,md,earthquake,M 2.0 - Northern California,2,Point,"[-122.0328333, 37.1945, 11.406]",2
0,2.09,Northern California,624757074640,1481291775750,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091394,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091394&format=geojson,,,,,reviewed,0,67,nc,20091394,",nc20091394,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",28,0.02252,0.05,69,md,earthquake,M 2.1 - Northern California,3,Point,"[-121.8541667, 37.0925, 7.679]",3
0,1.65,Northern California,624756821010,1481291769900,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091383,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091383&format=geojson,,,,,reviewed,0,42,nc,20091383,",nc20091383,",",nc,",",nearby-cities,origin,phase-data,",17,0.03423,0.07,59,md,earthquake,M 1.7 - Northern California,4,Point,"[-121.6363333, 36.9855, 0.856]",4
0,1.36,Northern California,624756680630,1481291765797,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091382,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091382&format=geojson,,,,,reviewed,0,28,nc,20091382,",nc20091382,",",nc,",",nearby-cities,origin,phase-data,",17,0.02973,0.03,110,md,earthquake,M 1.4 - Northern California,5,Point,"[-121.711, 36.98, 6.366]",5
0,1.51,"4km SE of Apple Valley, CA",624756650150,1454536329590,,https://earthquake.usgs.gov/earthquakes/eventpage/ci142885,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci142885&format=geojson,,,,,reviewed,0,35,ci,142885,",ci142885,",",ci,",",origin,phase-data,",0,0.8702,2.632,233.2,mh,earthquake,"M 1.5 - 4km SE of Apple Valley, CA",6,Point,"[-117.157, 34.479, -0.99]",6
0,3.2,Northern California,624756297090,1481291760680,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091390,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091390&format=geojson,,,,,reviewed,0,158,nc,20091390,",nc20091390,usp00040xx,",",nc,us,",",focal-mechanism,nearby-cities,origin,phase-data,",79,0.03423,0.06,56,ml,earthquake,M 3.2 - Northern California,7,Point,"[-121.9786667, 37.1686667, 9.994]",7
0,1.6,Northern California,624756172080,1481291752330,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091380,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091380&format=geojson,,,,,reviewed,0,39,nc,20091380,",nc20091380,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",36,0.04054,0.08,66,md,earthquake,M 1.6 - Northern California,8,Point,"[-121.8846667, 37.117, 3.834]",8
0,1.08,Northern California,624756136850,1481291746284,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091391,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091391&format=geojson,,,,,reviewed,0,18,nc,20091391,",nc20091391,",",nc,",",nearby-cities,origin,phase-data,",14,0.01802,0.04,115,md,earthquake,M 1.1 - Northern California,9,Point,"[-121.6733333, 36.9493333, 7.114]",9
0,1.32,Northern California,624756131220,1481291742695,,https://earthquake.usgs.gov/earthquakes/eventpage/nc20091389,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc20091389&format=geojson,,,,,reviewed,0,27,nc,20091389,",nc20091389,",",nc,",",nearby-cities,origin,phase-data,",17,0.03514,0.05,79,md,earthquake,M 1.3 - Northern California,10,Point,"[-121.982, 37.1673333, 6.624]",10
