,index,type,time,mag,place,status,tsunami,sig,net,nst,dmin,rms,gap,magType,longitude,latitude,depth
0,0,earthquake,2004-09-28 23:57:30.850,1.94,Central California,reviewed,0,58,nc,11,0.1676,0.15,237.0,md,-120.7323333,35.6215,1.545
1,1,earthquake,2004-09-28 23:57:09.390,1.25,Central California,reviewed,0,24,nc,25,0.02342,0.05,110.0,md,-120.4835,35.9356667,5.004
2,2,earthquake,2004-09-28 23:55:09.050,1.79,Central California,automatic,0,49,nc,12,0.024319999999999998,0.07,99.0,md,-120.4315,35.886,6.401
3,3,earthquake,2004-09-28 23:55:07.289,1.3,Central California,reviewed,0,26,nn,5,0.05,0.0431,96.31,mb,-118.6685,38.0025,6.0
4,4,earthquake,2004-09-28 23:53:13.850,1.2,"5km SSE of Redlands, California",reviewed,0,22,ci,9,0.04061,0.07,153.0,mh,-117.1538333,34.0138333,15.856
5,5,earthquake,2004-09-28 23:53:11.130,1.06,Central California,automatic,0,17,nc,12,0.027030000000000002,0.04,103.0,md,-120.4815,35.9285,5.18
6,6,earthquake,2004-09-28 23:50:00.520,1.01,Central California,reviewed,0,16,nc,13,0.008108,0.18,61.0,md,-120.5061667,35.951,2.007
7,7,earthquake,2004-09-28 23:47:05.030,2.28,Central California,reviewed,0,80,nc,54,0.02883,0.03,32.0,md,-120.354,35.8016667,9.328
8,8,earthquake,2004-09-28 23:46:44.350,1.67,Central California,automatic,0,43,nc,20,0.019819999999999997,0.04,66.0,md,-120.4255,35.8766667,4.891
9,9,earthquake,2004-09-28 23:44:49.070,1.34,Central California,automatic,0,28,nc,10,0.015319999999999999,0.04,137.0,md,-120.3646667,35.818,7.222
10,10,earthquake,2004-09-28 23:44:18.140,1.0,Central California,automatic,0,15,nc,12,0.027030000000000002,0.03,106.0,md,-120.4808333,35.9321667,5.33
11,11,earthquake,2004-09-28 23:41:37.280,1.11,Central California,automatic,0,19,nc,9,0.034230000000000003,0.05,163.0,md,-120.4475,35.8881667,10.691
12,12,earthquake,2004-09-28 23:40:26.740,1.98,Central California,reviewed,0,60,nc,37,0.02252,0.05,43.0,md,-120.4285,35.8786667,5.146
13,13,earthquake,2004-09-28 23:33:49.540,2.46,Central California,reviewed,0,93,nc,54,0.02252,0.05,55.0,md,-120.4866667,35.9353333,5.23
