,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,1.94,Central California,1096415850850,1483916657443,,https://earthquake.usgs.gov/earthquakes/eventpage/nc68011594,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc68011594&format=geojson,,,,,reviewed,0,58,nc,68011594,",nc68011594,",",nc,",",nearby-cities,origin,phase-data,",11,0.1676,0.15,237,md,earthquake,M 1.9 - Central California,0,Point,"[-120.7323333, 35.6215, 1.545]",0
0,1.25,Central California,1096415829390,1483916653060,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21400781,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21400781&format=geojson,,,,,reviewed,0,24,nc,21400781,",nc21400781,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",25,0.02342,0.05,110,md,earthquake,M 1.3 - Central California,1,Point,"[-120.4835, 35.9356667, 5.004]",1
0,1.79,Central California,1096415709050,1483916647890,,https://earthquake.usgs.gov/earthquakes/eventpage/nc30500841,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc30500841&format=geojson,,,,,automatic,0,49,nc,30500841,",nc30500841,",",nc,",",nearby-cities,origin,phase-data,",12,0.02432,0.07,99,md,earthquake,M 1.8 - Central California,2,Point,"[-120.4315, 35.886, 6.401]",2
0,1.3,Central California,1096415707289,1524604987197,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00121063,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00121063&format=geojson,,,,,reviewed,0,26,nn,00121063,",nn00121063,",",nn,",",origin,phase-data,",5,0.05,0.0431,96.31,mb,earthquake,M 1.3 - Central California,3,Point,"[-118.6685, 38.0025, 6]",3
0,1.2,"5km SSE of Redlands, California",1096415593850,1455681840818,,https://earthquake.usgs.gov/earthquakes/eventpage/ci14095208,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci14095208&format=geojson,,,,,reviewed,0,22,ci,14095208,",ci14095208,",",ci,",",nearby-cities,origin,phase-data,",9,0.04061,0.07,153,mh,earthquake,"M 1.2 - 5km SSE of Redlands, California",4,Point,"[-117.1538333, 34.0138333, 15.856]",4
0,1.06,Central California,1096415591130,1483916644417,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21400780,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21400780&format=geojson,,,,,automatic,0,17,nc,21400780,",nc21400780,",",nc,",",nearby-cities,origin,phase-data,",12,0.02703,0.04,103,md,earthquake,M 1.1 - Central California,5,Point,"[-120.4815, 35.9285, 5.18]",5
0,1.01,Central California,1096415400520,1483916640694,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21400521,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21400521&format=geojson,,,,,reviewed,0,16,nc,21400521,",nc21400521,",",nc,",",nearby-cities,origin,phase-data,",13,0.008108,0.18,61,md,earthquake,M 1.0 - Central California,6,Point,"[-120.5061667, 35.951, 2.007]",6
0,2.28,Central California,1096415225030,1483916635750,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21400520,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21400520&format=geojson,,,,,reviewed,0,80,nc,21400520,",nc21400520,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",54,0.02883,0.03,32,md,earthquake,M 2.3 - Central California,7,Point,"[-120.354, 35.8016667, 9.328]",7
0,1.67,Central California,1096415204350,1483916629764,,https://earthquake.usgs.gov/earthquakes/eventpage/nc30506385,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc30506385&format=geojson,,,,,automatic,0,43,nc,30506385,",nc30506385,",",nc,",",nearby-cities,origin,phase-data,",20,0.01982,0.04,66,md,earthquake,M 1.7 - Central California,8,Point,"[-120.4255, 35.8766667, 4.891]",8
0,1.34,Central California,1096415089070,1483916622405,,https://earthquake.usgs.gov/earthquakes/eventpage/nc30506391,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc30506391&format=geojson,,,,,automatic,0,28,nc,30506391,",nc30506391,",",nc,",",nearby-cities,origin,phase-data,",10,0.01532,0.04,137,md,earthquake,M 1.3 - Central California,9,Point,"[-120.3646667, 35.818, 7.222]",9
