,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,2.01,Central California,557449019880,1481105394520,,https://earthquake.usgs.gov/earthquakes/eventpage/nc105217,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc105217&format=geojson,,,,,reviewed,0,62,nc,105217,",nc105217,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",27,0.07477,0.05,128,md,earthquake,M 2.0 - Central California,0,Point,"[-120.7265, 36.6103333, 6.7]",0
0,2.67,Central California,557445828600,1481105387420,,https://earthquake.usgs.gov/earthquakes/eventpage/nc105224,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc105224&format=geojson,,,,,reviewed,0,110,nc,105224,",nc105224,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",29,0.2171,0.17,73,md,earthquake,M 2.7 - Central California,1,Point,"[-119.353, 38.2216667, 16.709]",1
0,2.47,Central California,557445774060,1481105379225,,https://earthquake.usgs.gov/earthquakes/eventpage/nc105216,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc105216&format=geojson,,,,,reviewed,0,94,nc,105216,",nc105216,",",nc,",",nearby-cities,origin,phase-data,",21,0.2225,0.08,117,md,earthquake,M 2.5 - Central California,2,Point,"[-119.3548333, 38.2275, 9.019]",2
0,2.03,"12km NE of Cabazon, CA",557445367820,1454528332210,,https://earthquake.usgs.gov/earthquakes/eventpage/ci622269,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci622269&format=geojson,,,,,reviewed,0,63,ci,622269,",ci622269,",",ci,",",origin,phase-data,",0,,0.065,48.1,mc,earthquake,"M 2.0 - 12km NE of Cabazon, CA",3,Point,"[-116.682, 33.98, 6.775]",3
0,2.74,Central California,557443014290,1481105358940,,https://earthquake.usgs.gov/earthquakes/eventpage/nc105211,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc105211&format=geojson,,,,,reviewed,0,116,nc,105211,",nc105211,ci622267,",",nc,ci,",",focal-mechanism,nearby-cities,origin,phase-data,",35,0.06216,0.07,66,md,earthquake,M 2.7 - Central California,4,Point,"[-118.3873333, 37.482, 6.124]",4
0,3.3,"32km NNW of Fort Irwin, CA",557442265720,1454533068890,,https://earthquake.usgs.gov/earthquakes/eventpage/ci622266,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci622266&format=geojson,,,,,reviewed,0,168,ci,622266,",usp00037z7,ci622266,",",us,ci,",",origin,phase-data,",0,,0.082,182.4,ml,earthquake,"M 3.3 - 32km NNW of Fort Irwin, CA",5,Point,"[-116.766, 35.544, 5.192]",5
0,2.18,"40km S of Quartzsite, AZ",557435663920,1454544777150,,https://earthquake.usgs.gov/earthquakes/eventpage/ci622256,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci622256&format=geojson,,,,,reviewed,0,73,ci,622256,",ci622256,",",ci,",",origin,phase-data,",0,,0.232,265.7,mc,quarry blast,"M 2.2 Quarry Blast - 40km S of Quartzsite, AZ",6,Point,"[-114.185, 33.306, -0.566]",6
0,2.31,"45km NE of Holtville, CA",557433885810,1454540195200,,https://earthquake.usgs.gov/earthquakes/eventpage/ci622252,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci622252&format=geojson,,,,,reviewed,0,82,ci,622252,",ci622252,",",ci,",",origin,phase-data,",0,,0.125,119.4,mc,quarry blast,"M 2.3 Quarry Blast - 45km NE of Holtville, CA",7,Point,"[-115, 33.06, -0.388]",7
0,2.14,"12km ENE of Joshua Tree, CA",557431395230,1454556682260,,https://earthquake.usgs.gov/earthquakes/eventpage/ci133529,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci133529&format=geojson,,,,,reviewed,0,70,ci,133529,",ci133529,",",ci,",",origin,phase-data,",0,,0.028,202,mc,earthquake,"M 2.1 - 12km ENE of Joshua Tree, CA",8,Point,"[-116.204, 34.194, 8.237]",8
0,2.24,"9km N of Victorville, CA",557428667150,1454556681800,,https://earthquake.usgs.gov/earthquakes/eventpage/ci133528,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci133528&format=geojson,,,,,reviewed,0,77,ci,133528,",ci133528,",",ci,",",origin,phase-data,",0,,0.194,94.9,mc,quarry blast,"M 2.2 Quarry Blast - 9km N of Victorville, CA",9,Point,"[-117.3, 34.62, -0.999]",9
