,mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title,index,type,coordinates,index
0,2.2,Central California,1078096236180,1483764951207,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346954,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346954&format=geojson,,,,,automatic,0,74,nc,21346954,",nc21346954,",",nc,",",nearby-cities,origin,phase-data,",14,0.06396,0.07,79,md,earthquake,M 2.2 - Central California,0,Point,"[-121.0443333, 35.7158333, 4.31]",0
0,3.5,"Vancouver Island, Canada region",1078094542000,1415323292596,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000cns9,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000cns9&format=geojson,,,,,reviewed,0,188,us,p000cns9,",usp000cns9,",",us,",",impact-text,origin,phase-data,",14,,,196.7,ml,earthquake,"M 3.5 - Vancouver Island, Canada region",1,Point,"[-128.99, 48.71, 10]",1
0,4.6,off the coast of Northern California,1078094170160,1415323292590,,https://earthquake.usgs.gov/earthquakes/eventpage/usp000cns8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=usp000cns8&format=geojson,,,,,reviewed,0,326,us,p000cns8,",usp000cns8,",",us,",",impact-text,origin,phase-data,",72,,1.37,146.1,mb,earthquake,M 4.6 - off the coast of Northern California,2,Point,"[-127.293, 41.01, 11.4]",2
0,2.05,Northern California,1078080889310,1483764891410,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346926,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346926&format=geojson,,,,,automatic,0,65,nc,21346926,",nc21346926,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",31,0.006306,0.08,34,md,earthquake,M 2.1 - Northern California,3,Point,"[-122.7256667, 38.7696667, 0.632]",3
0,2.43,Northern California,1078076345220,1483764869912,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346914,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346914&format=geojson,,,,,automatic,0,91,nc,21346914,",nc21346914,",",nc,",",nearby-cities,origin,phase-data,",11,0.03604,0.08,106,md,earthquake,M 2.4 - Northern California,4,Point,"[-123.5355, 39.6863333, 0.319]",4
0,2,"26km NNE of Kernville, California",1078072886110,1455637032449,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9987149,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9987149&format=geojson,,,,,reviewed,0,62,ci,9987149,",ci9987149,",",ci,",",nearby-cities,origin,phase-data,",14,0.1768,0.19,69,mh,earthquake,"M 2.0 - 26km NNE of Kernville, California",5,Point,"[-118.3185, 35.9753333, 4.025]",5
0,2.08,"40km SSE of Campo, California",1078060859040,1455681096285,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9987129,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9987129&format=geojson,,,,,reviewed,0,67,ci,9987129,",ci9987129,",",ci,",",nearby-cities,origin,phase-data,",11,0.4621,0.19,263,ml,earthquake,"M 2.1 - 40km SSE of Campo, California",6,Point,"[-116.3723333, 32.257, 6.604]",6
0,2.46,Central California,1078059243680,1483764841440,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346878,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346878&format=geojson,,,,,reviewed,0,93,nc,21346878,",nc21346878,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",60,0.03423,0.08,42,md,earthquake,M 2.5 - Central California,7,Point,"[-121.1055, 35.738, 7.901]",7
0,2.32,Northern California,1078058981590,1483764824870,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346876,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346876&format=geojson,,,,,automatic,0,83,nc,21346876,",nc21346876,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",39,0.01171,0.08,35,md,earthquake,M 2.3 - Northern California,8,Point,"[-122.7423333, 38.7723333, 1.289]",8
0,2,"8km WSW of Aguanga, CA",1078058481520,1459577726620,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9987121,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9987121&format=geojson,,,,,reviewed,0,62,ci,9987121,",ci9987121,",",ci,",",nearby-cities,origin,phase-data,",40,0.08391,0.29,41,ml,earthquake,"M 2.0 - 8km WSW of Aguanga, CA",9,Point,"[-116.9391667, 33.408, 13.69]",9
0,2,"San Francisco Bay area, California",1078056616900,1483764807920,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346868,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346868&format=geojson,,,,,reviewed,0,62,nc,21346868,",nc21346868,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",66,0.01982,0.04,43,md,earthquake,"M 2.0 - San Francisco Bay area, California",10,Point,"[-121.7836667, 37.4653333, 6.288]",10
0,2.52,Central California,1078054833680,1483764777990,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346862,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346862&format=geojson,,,,,reviewed,0,98,nc,21346862,",nc21346862,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",57,0.07928,0.08,46,md,earthquake,M 2.5 - Central California,11,Point,"[-121.077, 35.7303333, 4.754]",11
0,2.13,"5km E of Puebla, B.C., MX",1078047625450,1455672567644,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9987105,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9987105&format=geojson,,,,,reviewed,0,70,ci,9987105,",ci9987105,",",ci,",",nearby-cities,origin,phase-data,",14,0.2783,0.4,187,ml,earthquake,"M 2.1 - 5km E of Puebla, B.C., MX",12,Point,"[-115.2976667, 32.5563333, 7.034]",12
0,2.52,"28km ESE of Primo Tapia, B.C., MX",1078045705050,1459577725113,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9987101,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9987101&format=geojson,,,,,reviewed,0,98,ci,9987101,",ci9987101,",",ci,",",nearby-cities,origin,phase-data,",13,0.5071,0.16,273,ml,earthquake,"M 2.5 - 28km ESE of Primo Tapia, B.C., MX",13,Point,"[-116.6296667, 32.1676667, 6.641]",13
0,2.88,"14km NNE of Inyokern, CA",1078035917490,1459577723555,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9987065,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9987065&format=geojson,,,,,reviewed,0,128,ci,9987065,",usp000cnqa,ci9987065,",",us,ci,",",impact-text,nearby-cities,origin,phase-data,",40,0.05215,0.17,47,ml,earthquake,"M 2.9 - 14km NNE of Inyokern, CA",14,Point,"[-117.7386667, 35.7611667, 7.125]",14
0,2.17,"San Francisco Bay area, California",1078034179720,1483764730450,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346800,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346800&format=geojson,,,,,reviewed,0,72,nc,21346800,",nc21346800,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",62,0.01712,0.08,30,md,earthquake,"M 2.2 - San Francisco Bay area, California",15,Point,"[-122.2383333, 37.859, 7.569]",15
0,2.32,Central California,1078029697590,1483764716690,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346790,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346790&format=geojson,,,,,automatic,0,83,nc,21346790,",nc21346790,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",43,0.06306,0.1,45,md,earthquake,M 2.3 - Central California,16,Point,"[-121.0698333, 35.7333333, 4.355]",16
0,2,"6km ENE of Orange Cove, California",1078022290080,1455706972306,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9987041,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9987041&format=geojson,,,,,reviewed,0,62,ci,9987041,",ci9987041,",",ci,",",nearby-cities,origin,phase-data,",4,0.6289,0.1,163,mh,earthquake,"M 2.0 - 6km ENE of Orange Cove, California",17,Point,"[-119.2525, 36.6548333, 6.415]",17
0,2.12,"22km WNW of Ludlow, CA",1078020052220,1459625663071,,https://earthquake.usgs.gov/earthquakes/eventpage/ci9987037,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci9987037&format=geojson,,,,,reviewed,0,69,ci,9987037,",ci9987037,",",ci,",",nearby-cities,origin,phase-data,",21,0.03448,0.16,79,ml,earthquake,"M 2.1 - 22km WNW of Ludlow, CA",18,Point,"[-116.372, 34.8131667, 4.033]",18
0,2.01,Northern California,1078012877970,1483764681980,,https://earthquake.usgs.gov/earthquakes/eventpage/nc21346760,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc21346760&format=geojson,,,,,automatic,0,62,nc,21346760,",nc21346760,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,",31,0.007207,0.07,43,md,earthquake,M 2.0 - Northern California,19,Point,"[-122.7631667, 38.7938333, 0.6]",19
